,acl.id,X1,text,label,type,target,level,split,round.base,annotator,round,acl.id.matched
88,acl10076,88,my son comes back in tears every time other kids at school call him faggot. We must educate our children!,nothate,none,none,original,dev,1,TrRF46JWfP,1,NA
89,acl10077,89,I'm so sorry for those that are gays... it must be such a shame,hate,notgiven,notgiven,original,dev,1,oemYWm1Tjg,1,NA
90,acl10078,90,not all gay people are pedos,hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
91,acl10079,91,there is no difference between black men and a black door,hate,notgiven,notgiven,original,dev,1,vDe7GN0NrL,1,NA
92,acl1008,92,Blacks ruin every country they infest,hate,notgiven,notgiven,original,train,1,CAgNlUizNm,1,NA
93,acl10080,93,You can trust women to overreact,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
94,acl10081,94,my boyfriend can fuck off,nothate,none,none,original,dev,1,QiOKkCi7F8,1,NA
95,acl10082,95,this match is a scumhole,nothate,none,none,original,dev,1,oemYWm1Tjg,1,NA
96,acl10083,96,I wouldn't want my daughter to marry a Shylock,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
97,acl10084,97,it is false that all pakistanis are cunts,nothate,none,none,original,dev,1,QiOKkCi7F8,1,NA
98,acl10085,98,Get rid of the black people,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
99,acl10086,99,White purity is under attack from Muslims,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
100,acl10087,100,"I was told that people in my country hate Muslims because ours is a ""Hypocrite, fascist, terror based religion"". so sad.",nothate,none,none,original,dev,1,oemYWm1Tjg,1,NA
101,acl10088,101,Gay teachers should not be allowed,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
102,acl10089,102,Without a strong male role model boys can turn out gay,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
103,acl1009,103,I'm not saying we should actually eliminate mussies.. I just wish they naturally became extinct,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,NA
105,acl10091,105,being lgbtq is a fate worse than death,hate,notgiven,notgiven,original,dev,1,TbUBpfn6iP,1,NA
106,acl10092,106,Gays shouldn't be allowed at church,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
107,acl10093,107,I hate my phone,nothate,none,none,original,dev,1,GNZuCtwed3,1,NA
108,acl10094,108,People who support BLM are being fooled by the radical left. There is not a real race problem in this country.,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
109,acl10095,109,"My area has gone downhill, there are too many immigrants living here now",hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
110,acl10096,110,what a pile of wank my husband is,nothate,none,none,original,dev,1,QiOKkCi7F8,1,NA
111,acl10097,111,I hate people who hate black people,nothate,none,none,original,dev,1,QiOKkCi7F8,1,NA
112,acl10098,112,we need concentration camps for refugees,hate,notgiven,notgiven,original,dev,1,TbUBpfn6iP,1,NA
113,acl10099,113,Get rid of the polish,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
114,acl101,114,Muslims are not British,hate,notgiven,notgiven,original,train,1,vDe7GN0NrL,1,NA
115,acl1010,115,I'm not saying we should actually eliminate kebabis.. I just wish they naturally became extinct,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,NA
116,acl10100,116,my bed is a piece of shit,nothate,none,none,original,dev,1,vDe7GN0NrL,1,NA
117,acl10101,117,"See if all you fucking cunts wore masks like you were supposed to there wouldn't be more restrictions, just wear the masks.",nothate,none,none,original,dev,1,GNZuCtwed3,1,NA
118,acl10102,118,i would rather get coronavirus than be near a lesbian,hate,notgiven,notgiven,original,dev,1,TbUBpfn6iP,1,NA
119,acl10103,119,I just don't like gays and that is my choice,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
120,acl10104,120,I endorse the genocide of Allah worshippers,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
121,acl10105,121,Muslims are nothing like terrorists!,nothate,none,none,original,dev,1,LqLKTtrOmx,1,NA
122,acl10106,122,My job is fucking ridiculous,nothate,none,none,original,dev,1,GNZuCtwed3,1,NA
123,acl10107,123,gay families are an affront to God's plan,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
124,acl10108,124,I do not like ret@rds,hate,notgiven,notgiven,original,dev,1,QiOKkCi7F8,1,NA
125,acl10109,125,"if you think about it, asylum seekers are the real problem",hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
126,acl1011,126,I'm not saying we should actually eliminate kebabs.. I just wish they naturally became extinct,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,NA
127,acl10110,127,being chinese is a fate worse than death,hate,notgiven,notgiven,original,dev,1,TbUBpfn6iP,1,NA
128,acl10111,128,I hate Islam for not allowing women and men to have  sex outside marriage,hate,notgiven,notgiven,original,dev,1,vDe7GN0NrL,1,NA
129,acl10112,129,white chicks was a shit ass movie,nothate,none,none,original,dev,1,LqLKTtrOmx,1,NA
130,acl10113,130,I don't want immigrants living next door,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
131,acl10114,131,"Dear brownies, think twice before you pass by me, and that's a threat!",hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
132,acl10115,132,Koshies are only useful for one think: making soap!,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
133,acl10116,133,"I don't have a problem with lesbians, but I do with them kissing and holding hands in the middle of the street. Go do that at home!",hate,notgiven,notgiven,original,dev,1,oemYWm1Tjg,1,NA
134,acl10117,134,We are going to destroy Liverpool,nothate,none,none,original,dev,1,GNZuCtwed3,1,NA
135,acl10118,135,"it's OK to post on Facebook that you hope Trump dies, so long as you do not tag him in the post",nothate,none,none,original,dev,1,TrRF46JWfP,1,NA
137,acl1012,137,I'm not saying we should actually eliminate all Osamas.. I just wish they naturally became extinct,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,NA
138,acl10120,138,i really dont want muslims in my face,hate,notgiven,notgiven,original,dev,1,TbUBpfn6iP,1,NA
139,acl10121,139,This is what we call ignorance with a touch of racism. Whoever this woman is needs some serious help,nothate,none,none,original,dev,1,vDe7GN0NrL,1,NA
140,acl10122,140,i hate liberal cunts,nothate,none,none,original,dev,1,LqLKTtrOmx,1,NA
141,acl10123,141,Those black men look like grapes,hate,notgiven,notgiven,original,dev,1,vDe7GN0NrL,1,NA
142,acl10124,142,I wouldn't want a retard husband,hate,notgiven,notgiven,original,dev,1,QiOKkCi7F8,1,NA
143,acl10125,143,I wouldn't eat food that has been touched by a mong,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
144,acl10126,144,F**ck all girls,nothate,none,none,original,dev,1,vDe7GN0NrL,1,NA
145,acl10127,145,Jobs should go to the English before foreigners,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
146,acl10128,146,women are all good for nothing,hate,notgiven,notgiven,original,dev,1,oemYWm1Tjg,1,NA
147,acl10129,147,I wouldn't trust a black man to do the job,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
148,acl1013,148,gays should be ashamed,hate,notgiven,notgiven,original,train,1,CAgNlUizNm,1,NA
149,acl10130,149,Latinos are great.... at being beastly!,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
150,acl10131,150,Muslims are murderers in disguise.,hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
151,acl10132,151,Homosexuals were the ruination of this country,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
152,acl10133,152,kikes are responsible for the world perversion,hate,notgiven,notgiven,original,dev,1,GNZuCtwed3,1,NA
153,acl10134,153,hefemales are despicable,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
154,acl10135,154,stop using the word faggot,nothate,none,none,original,dev,1,QiOKkCi7F8,1,NA
155,acl10136,155,I wish Hitler had finished his job with all 539s,hate,notgiven,notgiven,original,dev,1,oemYWm1Tjg,1,NA
156,acl10137,156,"If my son turned out to be queer I'd be so ashamed, I could never accept it",hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
157,acl10138,157,pancakes are the shit,nothate,none,none,original,dev,1,GNZuCtwed3,1,NA
158,acl10139,158,disableds ruin british culture,hate,notgiven,notgiven,original,dev,1,TbUBpfn6iP,1,NA
159,acl1014,159,I'm not saying we should actually eliminate all Kalars.. I just wish they naturally became extinct,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,NA
160,acl10140,160,they are a group of curry munchers,hate,notgiven,notgiven,original,dev,1,QiOKkCi7F8,1,NA
161,acl10141,161,"if you think smart, black people are the real danger to society",hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
162,acl10142,162,"Those that say Asylum seekers and regugees are thieves, dangerous criminals and lazy people should hear their stories first",nothate,none,none,original,dev,1,oemYWm1Tjg,1,NA
163,acl10143,163,I'm a gay man i like dick,nothate,none,none,original,dev,1,TbUBpfn6iP,1,NA
164,acl10144,164,"fuck, my girlfriend cheats on me!",nothate,none,none,original,dev,1,TrRF46JWfP,1,NA
165,acl10145,165,How much money will black people need to stop shooting each other in the streets?,hate,notgiven,notgiven,original,dev,1,GNZuCtwed3,1,NA
166,acl10146,166,why do asian guys have small dicks?,hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
168,acl10148,168,i wish everyone would stop stabbing each othe,nothate,none,none,original,dev,1,TbUBpfn6iP,1,NA
169,acl10149,169,"i purpose that we attack everyone who cannot adhere to british values, starting with muslim thugs",hate,notgiven,notgiven,original,dev,1,TbUBpfn6iP,1,NA
170,acl1015,170,gay is a mental illness,hate,notgiven,notgiven,original,train,1,CAgNlUizNm,1,NA
171,acl10150,171,"if you think smart, blacks are the real danger to society",hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
172,acl10151,172,"i purpose that we attack everyone who cannot adhere to british values, starting with asians",hate,notgiven,notgiven,original,dev,1,TbUBpfn6iP,1,NA
173,acl10152,173,atheists only care about themselves,hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
174,acl10153,174,blacks are irrelevant,hate,notgiven,notgiven,original,dev,1,QiOKkCi7F8,1,NA
175,acl10154,175,my lecturer told me to fuck off,nothate,none,none,original,dev,1,QiOKkCi7F8,1,NA
176,acl10155,176,my house is filthy,nothate,none,none,original,dev,1,TbUBpfn6iP,1,NA
177,acl10156,177,White purity is under threat from Indians and we need to act now to stop it. We need to fight back,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
178,acl10157,178,The UK is full of lazy Camel Crunchers,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
180,acl10159,180,buddhists don't give a shit about other religions,hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
181,acl1016,181,I'm not saying we should actually eliminate all Towel Heads.. I just wish they naturally became extinct,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,NA
182,acl10160,182,Chinese people aren't welcome around here,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
184,acl10162,184,"why do some people hate single people? we are not useless, ugly or unfuckable like they say!",nothate,none,none,original,dev,1,oemYWm1Tjg,1,NA
185,acl10163,185,Jewish people only love money,hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
186,acl10164,186,I would kill for a cup of tea,nothate,none,none,original,dev,1,GNZuCtwed3,1,NA
187,acl10165,187,Lesbos are dishonest people,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
188,acl10166,188,Catholics are not the same as paedophiles!,nothate,none,none,original,dev,1,LqLKTtrOmx,1,NA
189,acl10167,189,why do arabs like bombs?,hate,notgiven,notgiven,original,dev,1,LqLKTtrOmx,1,NA
190,acl10168,190,fuck my shitty best friend,nothate,none,none,original,dev,1,QiOKkCi7F8,1,NA
191,acl10169,191,I would really prefer to have true British neighbours instead of all these curryheads,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
192,acl1017,192,IMAGINE A WORLD WITHOUT CURRY MUNCHERS... now let's make it happen!!,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,NA
193,acl10170,193,Get rid of all the Jews,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
194,acl10171,194,If he lightened his skin he could pass for white,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
195,acl10172,195,jews are cancer,hate,notgiven,notgiven,original,dev,1,GNZuCtwed3,1,NA
196,acl10173,196,"This computer is shite, it is not working properly",nothate,none,none,original,dev,1,TrRF46JWfP,1,NA
197,acl10174,197,Gays are abhorrent people,hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
198,acl10175,198,camel people used to leave their country and  live in our country,hate,notgiven,notgiven,original,dev,1,vDe7GN0NrL,1,NA
199,acl10176,199,The Indian community is so inbred,hate,notgiven,notgiven,original,dev,1,CAgNlUizNm,1,NA
200,acl10177,200,"Trans women should use the males' loo, where they rightly belong!",hate,notgiven,notgiven,original,dev,1,TrRF46JWfP,1,NA
