,HITId,tweet,sentiment,directness,annotator_sentiment,target,group
23,4504,@user @user @user connard stupide ne peut pas voir le pays d'invasion @url,hateful,indirect,anger_sadness,origin,women
24,4505,je suis en retard @url,fearful_offensive,indirect,anger_fear_sadness_disgust,disability,special_needs
25,4506,@user ressemble à la version mongoloïde du jeune dauphin.,abusive_offensive_hateful_disrespectful_normal,indirect,anger_disgust,origin,individual
26,4507,servir le mongol ? une bière blonde ? saucisse blanche? #yaxley #lennon @url,offensive,indirect,anger_confusion,other,other
27,4508,hanny mdr je veux un nègre en plastique qui donne à Barbie un aspect réel,normal,indirect,confusion_fear_shock_indifference_sadness,origin,special_needs
28,4509,papa douleur seins grosse chatte manger sperme lezbo public branler femme bbc jeune masturbation canada nn@url,offensive,indirect,shock_indifference,sexual_orientation,other
29,4510,@user mongoloïde absolu rehachant de vieilles vues de saké dramatique,offensive_hateful,indirect,confusion_fear_indifference_sadness_disgust,disability,women
30,4511,@user je suis épicé,offensive,indirect,confusion_indifference,origin,individual
31,4512,@user @user déteste dire cochise malheureusement des connards comme Trump a laissé la tache credibi @url,normal,indirect,anger_sadness,other,other
32,4513,Imao Ching Chong. parfois la calomnie la plus simple la plus drôle,offensive_normal,indirect,sadness_disgust,other,other
33,4514,"@user oui, je vois probablement publier quelque chose sur Twitter",normal,indirect,anger_fear_indifference_sadness_disgust,other,other
34,4515,@user lewis pédé,normal,direct,shock_disgust,sexual_orientation,other
35,4516,"vous entendez tous prononcer un nom, c'est de la merde de pédé",offensive,indirect,anger_shock,origin,special_needs
36,4517,retarder @url,hateful,indirect,anger_disgust,other,special_needs
37,4518,"mon frère a donné les clés de la maison comme si Ching Chong avait crié mal, il pleure @url",hateful_normal,indirect,shock_disgust,origin,other
38,4519,au fait....connasse machado !!!! #toutlemonde @utilisateur,offensive,indirect,anger_shock,other,special_needs
39,4520,@user @user @user @user @user aime chercher de vieux tweets triste chatte,offensive,indirect,anger_shock,other,women
40,4521,Terroriste palestinien de gauche veut dire terroriste libéral ? @url,hateful,indirect,anger_sadness_shock_indifference_disgust,origin,other
41,4522,@user @user @user chatte irrespectueuse.,offensive,indirect,anger_shock,other,other
42,4523,le mois tumblr veut visiblement queer andro femme pédé trans* corps. blague! #feminism4ever,fearful_offensive,indirect,confusion_indifference,sexual_orientation,other
43,4524,@user extra spic,hateful,direct,anger_shock,origin,left_wing_people
44,4525,je suis le nègre de Brams,offensive,indirect,anger_fear_shock_indifference_sadness,origin,african_descent
45,4526,@user @user @user @user @user @user aqua favori spic @url,offensive,indirect,anger_shock,origin,other
46,4527,@user @user @user baise en fumant un mongoloïde absolu.,offensive,indirect,anger_shock,disability,special_needs
47,4528,@user nègre = mayate,offensive_normal,indirect,anger_fear_shock_indifference_sadness,origin,other
48,4529,Keemstar baise la chatte,normal,indirect,anger_confusion_sadness_shock_indifference,origin,individual
49,4530,"@user c'est horrible. je suis désolé, c'est arrivé. plaisanter dernier refuge con.",offensive_normal,indirect,anger_confusion_fear_shock_indifference,other,other
50,4531,@user gagnerait 1 homme à tête brillante 1 archer à cheval mongol,offensive,indirect,shock_disgust,origin,other
51,4532,prise retardée. je n'arrive même pas à créer une application logistique,hateful,indirect,anger_confusion_sadness_shock_indifference,origin,left_wing_people
52,4533,"oh chères hordes mongoles balayant le sud, violant et pillant la capitale. sauve-nous bien @url",disrespectful_normal,indirect,anger_disgust,origin,individual
53,4534,"@user @user une personne non blanche dit à une personne blanche d'accord, le blanc devient blanc @url",offensive_disrespectful,indirect,anger_sadness,origin,other
54,4535,petite conne.,abusive_disrespectful,indirect,anger_fear_shock_sadness_disgust,other,individual
55,4536,@user @user @user @user J'ai appelé Spic South. passe difficile.,offensive,indirect,anger_disgust,origin,other
56,4537,abonnez-vous à mon frère Ching Chong @url,offensive,indirect,anger_disgust,origin,women
57,4538,"amis, pays de merde, font l'histoire, profitent à tous, font avancer la paix @url",normal,indirect,shock_disgust,origin,other
58,4539,les yeux ont vu sangloter le cerveau lire nègre @url,offensive,indirect,anger_confusion_sadness_shock_indifference,origin,individual
59,4540,"@user vous sent. prendre la peine de jouer comme un jure, obtenez toujours une équipe de retardataires. dernier match top laner (heim @url",offensive,indirect,anger_confusion_sadness_shock_indifference,disability,special_needs
60,4541,pack de retardateur de tabac de mf,abusive_offensive_hateful_disrespectful,indirect,shock_disgust,disability,special_needs
61,4542,définition preneur de soupe @url,offensive,indirect,confusion_fear_shock_indifference_sadness,other,other
62,4543,@user @user @user @user @user ok retard,offensive,indirect,anger_shock,disability,special_needs
63,4544,front mongoloïde sombre approchez-vous légèrement à gauche @url,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,special_needs
64,4545,"droit royal, je suis attardé",offensive,indirect,indifference_disgust,other,special_needs
65,4546,@user pense retardé.. le métro saute déjà les tours mobiles client métro cps f @url,offensive,indirect,confusion_fear_shock_sadness_disgust,disability,special_needs
66,4547,les hommes disent 28/29 comme si c'était Yute ? faire sortir le nègre de l'homme @url,offensive,indirect,anger_disgust,gender,other
67,4548,"pourrait pleurnicher une intériorité qui se déroulait, un retard mental",normal,indirect,indifference_disgust,disability,special_needs
68,4549,les gens cuntsncunt enveloppés de chattes chaudes remplissent la chatte et servent des chattes rôties au lit.,offensive,indirect,indifference_disgust,gender,women
69,4550,@user @user gars attardé. je l'ai dit. pense que les négros sont ouverts @url,offensive,indirect,anger_indifference,other,special_needs
70,4551,"toujours mongy et assez pour retourner l'estomac de n'importe qui en chantant Jimmy Savile, c'est sûr qu'on l'a appelé ki @url",offensive,indirect,confusion_fear_indifference_sadness_disgust,disability,special_needs
71,4552,@user salope au cul laid apprend le bon anglais salope fatass enfant laid et retardé,offensive,direct,confusion_disgust,gender,women
72,4553,parler 'public' condescendant connard @url,offensive,indirect,anger_confusion_fear_shock_sadness,origin,refugees
73,4554,@user @user @user @user @user @user écoutez cet idiot.. dites aux non sionistes je @url,abusive_offensive,indirect,confusion_indifference,other,left_wing_people
74,4555,"@user, la civilisation occidentale est conviviale, acceptez-le. l'Ouest a essayé de faire des conneries, les pays auraient été génocidés",hateful_normal,indirect,anger_indifference,origin,immigrants
75,4556,"garde l'esprit que je suis nègre, esprit ouvert, viens ah, porte moustiquaire",abusive_offensive_hateful_normal,indirect,anger_indifference,origin,other
76,4557,terroriste de gauche,hateful_disrespectful,indirect,confusion_indifference,other,other
77,4558,Si les corbeaux n'avaient pas arrêté de regarder la ligue des criminels nègres il y a des années,hateful_normal,indirect,indifference_disgust,origin,other
78,4559,@user @user a vu de nombreuses captures d'écran du discours du tireur d'aujourd'hui. déteste Trump déteste les juifs. gauchiste @url,offensive,indirect,confusion_indifference,other,left_wing_people
79,4560,@user ok blanc ok.,offensive,indirect,confusion_indifference,origin,other
80,4561,Reys Evil Ass vient gâcher le plaisir : nègre.,offensive,indirect,confusion_indifference,origin,other
81,4562,@user oh mauvais a pris la déclaration féminazi comme étant politique,offensive,indirect,confusion_indifference,other,special_needs
82,4563,les Américains qui font attention comme un gars pourraient rendre à nouveau leur pays de merde. @url,offensive,indirect,confusion_disgust,origin,other
83,4564,@user @user @user @user @user retarde continue de mentir,offensive,indirect,confusion_disgust,disability,special_needs
84,4565,@user @user lynchage ! attendez. ok lynchage du complot féminazi de l’État profond ! Ouais c'est ça.,offensive,indirect,anger_sadness,other,other
85,4566,"@user, tu es un putain de nègre...",offensive,direct,anger_disgust,origin,individual
86,4567,on m'a traité de travail de pédé aujourd'hui,offensive,indirect,anger_disgust,sexual_orientation,individual
87,4568,@user negro n'a pas besoin de publier des clips. besoin de gens en streaming.,abusive_disrespectful,indirect,shock_disgust,origin,african_descent
88,4569,@user regarde d'abord tweet mec. fil de discussion. putain de connard d'idiot.,abusive_disrespectful,indirect,anger_confusion_sadness_shock_disgust,gender,women
89,4570,@user wacom essaie de travailler. @url,normal,indirect,anger_confusion_sadness_shock_disgust,other,other
90,4571,gars coréen: ching chong,offensive_normal,indirect,shock_indifference,origin,individual
91,4572,"@user a déjà dit qu'il nie cela ? putain de mec attardé. vas-y, tue quelqu'un @url",hateful,direct,anger_confusion_sadness_shock_disgust,disability,special_needs
92,4573,hé @user apprends en direct sans @user @user @user @user @user @user @user @url,normal,indirect,indifference_disgust,other,individual
93,4574,un enfant mongoloïde récite des abc. #oddtimestolaugh,offensive,indirect,shock_indifference,origin,other
94,4575,ne plaisante pas avec / parce que je suis attardé et gay,offensive,indirect,shock_indifference,origin,other
95,4576,"@user @user @user n'aime pas Trump, retourne toujours en arrière-pays",normal,indirect,shock_indifference,origin,jews
96,4577,retard?,normal,indirect,anger_confusion_sadness_shock_indifference,disability,special_needs
97,4578,"@user @user c'est vrai, chatte.",offensive,indirect,anger_confusion_sadness_shock_indifference,gender,women
98,4579,"des amis blancs ont dit que les Wetback Spics étaient fous, j'espère qu'on a entendu ça... parce que gon trooouuuble (voix de Drake)",hateful_disrespectful,indirect,confusion_indifference,origin,other
99,4580,@user a arrêté de voler le pédé de la punchline,offensive_hateful,direct,anger_confusion_sadness_shock_indifference,sexual_orientation,other
100,4581,@user @user @user @user omfg. je sais apparemment. retarder via @url,offensive,indirect,anger_confusion_sadness_indifference_disgust,disability,special_needs
101,4582,@user admet qu'il est allé loin dans la ligne des pédés (même s'il n'est jamais d'accord @url,hateful,indirect,confusion_indifference,sexual_orientation,other
102,4583,suce la bite Gundy. salope de pédé de mulet,hateful,indirect,shock_indifference,sexual_orientation,individual
103,4584,Qui va sauver un pays de merde ? Trump quitte ses fonctions ?nkanye n~ktsadb,offensive,indirect,anger_indifference,origin,other
104,4585,"ouais. j'ai compris. je n'ai pas l'habitude de fuir des pays de merde dirigés par des gens méchants, non, cela l'emportera sur le mal. atout w @url",hateful,indirect,anger_confusion_fear_shock_disgust,origin,immigrants
105,4586,@user @user @user est devenu complètement retardé 1. ajouté la soie dentaire en septembre,offensive,indirect,sadness_disgust,disability,special_needs
106,4587,toute la durée du van spic. autocollants aux couleurs vibrantes. bords frisés. hummm... @url,normal,indirect,anger_confusion_fear_indifference_disgust,origin,other
107,4588,@user mongoloïde autorisé à moins de 1000 pieds universitaires franchement scandaleux,offensive,direct,sadness_disgust,origin,individual
108,4589,l’emporte sur la culture. qui est déjà un pays de merde ? #méprisable @url,normal,indirect,sadness_indifference,origin,other
109,4590,@user eh bien ouais pédé,hateful,indirect,anger_sadness,origin,other
110,4591,"@user mort! continuez à écouter de la musique ching chong, les gens aiment... venez, sinon ? l @url",abusive_offensive,indirect,shock_disgust,origin,muslims
111,4592,"@user, amis démocrates, rient toujours, c'est stupide, disent que c'est stupide, votez retard",fearful,indirect,sadness_shock,origin,special_needs
112,4593,"qu'est-ce que tu as, le chinois Lukaine avec des coups de pied dans la merde de proxénète flava",hateful,indirect,shock_disgust,origin,other
113,4594,"à chaque fois que quelqu'un dit pédé pédé, demande avec désinvolture à la 6e année. comme si j'appelais toujours les gens 2018 lmao",fearful_offensive_hateful_disrespectful_normal,indirect,shock_disgust,sexual_orientation,other
114,4595,"@utilisateur vous : n- chantez ""enfermez-vous"" et- diabolisez les réfugiés ""pays de merde"" et- moquez-vous de @url",hateful,indirect,anger_confusion_fear_indifference_disgust,origin,refugees
115,4596,fini le pays de la merde !!! @url,fearful_abusive_offensive_hateful_normal,indirect,anger_sadness,origin,special_needs
116,4597,@user dit bannissement. envoyer Trump aux gens comme Trump dans des endroits comme des pays de merde afrique @url,offensive_hateful,indirect,shock_disgust,origin,individual
117,4598,une vieille dame branlante est venue dans le parc a vu une balançoire retardée en écoutant les sirènes endormies,offensive,indirect,anger_sadness,disability,special_needs
118,4599,@user écoute de la musique ching chong,offensive_normal,indirect,shock_disgust,origin,other
119,4600,@user @user @user étudie l'impact des réfugiés sur les économies avancées et conclut qu'il faut investir un euro @url,offensive,indirect,anger_confusion_shock_indifference_disgust,origin,special_needs
120,4601,@user @user @user @user @user @user a terminé les filles ching chong alias @user aussi. légende seulement.,offensive,indirect,anger_fear_shock_indifference_disgust,origin,special_needs
121,4602,"@user a prédit que la blague a même réussi. Obtenez du bon matériel, putain de mongoloïde",hateful,indirect,fear_disgust,origin,individual
122,4603,@user mec wtf jouer à mario 64 ds retard,offensive,indirect,anger_sadness_shock_disgust,origin,special_needs
123,4604,"qu'est-ce que c'est que pédé, tu veux parier sur le jeu 2 demain @l'utilisateur sait que tu as des bons d'alimentation, je les prends mdr",offensive,indirect,anger_confusion_sadness_shock_disgust,sexual_orientation,gay
124,4605,@user 59 ans se souvient avoir vu des stries Sky Kid. attardé ?,offensive,indirect,anger_confusion,origin,other
125,4606,vieille sale salope juive protégeant absolument toute la crasse de la structure juive.,offensive,indirect,anger_sadness_shock_indifference_disgust,religion,individual
126,4607,@user @user @user point sait que les mots blessent les gens. retarder @url,offensive_normal,indirect,anger_sadness_shock_disgust,disability,special_needs
127,4608,pays connard antisémite,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,other
128,4609,"@user savait que tu es raciste, tu es mouillé, tu retournes au pays, un peu en face",offensive,indirect,shock_disgust,origin,individual
129,4610,"écoute, connard à grosse tête, poussiéreux, regarde, p'tit putain de coucou, morceau de libtard, merde, bouffe de chienne troglodyte mongoloïde",hateful,indirect,anger_sadness_shock_disgust,other,individual
130,4611,@user @user @user one = pense que pédé se fait avorter célibataire @url,offensive,indirect,confusion_sadness,sexual_orientation,other
131,4612,"obtenir des chattes, tout le monde veut ça#goirish #pasttensoftweet",fearful_abusive_offensive_disrespectful_normal,indirect,confusion_fear_shock_sadness_disgust,gender,women
132,4613,intention de regarder le cul mongoloïde #ass #bot,offensive,indirect,confusion_fear_shock_sadness_disgust,origin,women
133,4614,"clé pour se marier, tromper une fille au cours du premier mois, se rend compte que je suis excentrique, unique, je suis retardée",offensive,indirect,anger_sadness_shock_disgust,gender,women
134,4615,fine fonction de digue en peau de lumière et dit bien asf & bag fuck!merde!salope!,offensive,indirect,anger_sadness_shock_disgust,sexual_orientation,individual
135,4616,"@user, il est un peu un connard",offensive,indirect,confusion_fear_shock_sadness_disgust,other,women
136,4617,@user nègre a besoin d'une maison @url,abusive_offensive_hateful_disrespectful_normal,indirect,shock_indifference,origin,special_needs
137,4618,@user @user palais saisintrump admn mustnfire gauchiste nwh chef d'état-majornjohn kerrynhh @url,offensive,indirect,confusion_fear_shock_sadness_disgust,other,other
138,4619,@user ressemblant à une statue de Mongy vieillit #cr7,normal,indirect,indifference_disgust,other,other
139,4620,couper les cheveux courts loin des familles appelées digue Pelona soldat Walter Mercado,normal,indirect,anger_sadness_shock_indifference_disgust,origin,gay
140,4621,chatte folle @url,offensive,indirect,anger_sadness_shock_indifference_disgust,gender,individual
141,4622,"@utilisateur typique de vous. soutenez les étrangers illégaux, les citoyens américains et condamnez les allégations d'un homme @url",offensive,indirect,anger_sadness_shock_indifference_disgust,origin,other
142,4623,@user chatte,offensive,indirect,anger_fear_shock_indifference_disgust,gender,women
143,4624,"pratique, Soros Clinton Obama reçoit des colis suspects 2 jours. d'accord. connards @url",offensive,indirect,anger_sadness_shock_indifference_disgust,other,other
144,4625,grande pièce de monnaie mongole khan @url,offensive,indirect,anger_sadness,disability,women
145,4626,@user n'est pas un nègre affamé comme toi,offensive,indirect,anger_fear_shock_indifference_disgust,origin,african_descent
146,4627,@user baise la chatte,fearful_abusive,indirect,anger_sadness_shock_indifference_disgust,origin,women
147,4628,"je crie putain, ma sœur a en fait changé de nom, quartier des nègres",offensive,indirect,confusion_sadness,origin,special_needs
148,4629,@user même shadilay actif mdr pédé,fearful_offensive,indirect,anger_sadness_shock_indifference_disgust,sexual_orientation,gay
149,4630,@user susano'o obito putain de pédé,offensive,direct,anger_disgust,sexual_orientation,individual
150,4631,@user signe une personne retardée,offensive,indirect,anger_fear_shock_indifference_disgust,disability,special_needs
151,4632,@user a fermé le fermier. clairement retardé,offensive,indirect,anger_fear_shock_indifference_disgust,disability,special_needs
152,4633,"je veux être banni, je traite quelqu'un de pédé",offensive,indirect,anger_sadness,sexual_orientation,individual
153,4634,je ne suis jamais déçu des commentaires ici. une simple ignorance honnêtement attardée. zzzz @url,offensive,indirect,anger_fear_shock_indifference_disgust,disability,special_needs
154,4635,féminazi,offensive,indirect,anger_fear_shock_indifference_disgust,gender,women
155,4636,maman se transforme en chien traité de stupide retardateur,offensive,indirect,anger_fear_shock_indifference_disgust,disability,special_needs
156,4637,"putains d'immigrés, leurs chansons. doit mener la gorge. :toux: #dq11 @url",offensive,indirect,anger_sadness,origin,immigrants
157,4638,La patience de l'utilisateur a pratiqué les pas de porte. l'arriéré a obtenu l'asile psychiatrique mérité.,offensive_hateful,indirect,anger_confusion_sadness_indifference_disgust,disability,special_needs
158,4639,"selon #23andme, 99% des ancêtres ont voyagé dans des caravanes océaniques, dans des pays de merde, avec des dirigeants autoritaires.",abusive_disrespectful_hateful_normal,indirect,anger_fear_shock_indifference_disgust,origin,other
159,4640,"@user retourne sérieusement au pays, merde, cul mort",offensive,indirect,anger_fear_shock_indifference_disgust,origin,individual
160,4641,"idgaf parle, parle, je suis retardé",offensive,indirect,anger_sadness,disability,special_needs
161,4642,@user @user boy et ko pédé cul,offensive_hateful,direct,anger_fear_shock_indifference_disgust,sexual_orientation,indian/hindu
162,4643,@user mec retardé standard Xbox même jouer à Red Dead 900p 30 fps mdr,abusive_offensive,indirect,anger_fear_shock_indifference_disgust,disability,special_needs
163,4644,@user @user @user @user perceuse à colonne mongoloïde make auto sear.nnthe @url,offensive_hateful,indirect,anger_sadness,origin,special_needs
164,4645,@user @user @user @user @user name raghead trailer trash.,offensive,indirect,anger_sadness,origin,special_needs
165,4646,@user @user merci pensé ching chong cheng,offensive,indirect,anger_fear_shock_indifference_disgust,origin,special_needs
166,4647,@user futurama a rendu les Simpsons moins attardés,abusive_disrespectful,indirect,shock_indifference,other,other
167,4648,@user @user inclus un bon retard de grammaire de base,offensive_hateful,indirect,shock_indifference,disability,special_needs
168,4649,wenjoy digue wenjoy digue wenjoy digue wenjoy digue wenjoy digue wenjoy digue wenjoy digue wenjoy digue wenjoy digue wenjoy @url,offensive,indirect,confusion_fear_indifference_sadness_disgust,origin,other
169,4650,"je ne peux pas acheter de cours !! je connais les clubs, les fans de Dick Head, les meilleures listes #havesomerespect @url",abusive_hateful,indirect,anger_confusion_sadness_shock_disgust,gender,special_needs
170,4651,"Macron ne voit pas le trou à merde qui coule dans le pays, essayant les connards de Merkel intéressés @url",normal,indirect,anger_fear_shock_indifference_sadness,gender,individual
171,4652,@user retardé.,offensive,indirect,anger_confusion_sadness_shock_disgust,disability,special_needs
172,4653,@user @user @user @user internet évident cause dire les expressions faciales langage corporel retard,abusive_offensive,indirect,anger_sadness,disability,special_needs
173,4654,putain de pédé,offensive,indirect,anger_sadness,sexual_orientation,individual
174,4655,@user @user @user depuis la zone de retard glissée absolument idée terroris @url,abusive_offensive,indirect,anger_sadness,disability,special_needs
175,4656,@user @user nouvelle édition internationale nègre,offensive,indirect,anger_sadness,origin,indian/hindu
176,4657,les gens ont en fait voté connard. @url,hateful,indirect,confusion_fear_indifference_sadness_disgust,other,other
177,4658,"nous avons joué ensemble en ligne deux fois. tu sais, c'est de la merde, pédé !",abusive,indirect,anger_sadness,sexual_orientation,individual
178,4659,vision frappé tbh honte chatte décidé de jeter un verre ne peut pas prendre une blague,offensive,indirect,anger_sadness,other,other
179,4660,"@user lisant la fin de l'article, je suis troublé, je laisse la conversation continuer. seigneur @url",normal,indirect,anger_indifference,other,other
180,4661,"@utilisateur putain. ok, blanc, fier.",normal,indirect,fear_indifference,origin,other
181,4662,@user se demande si un pays de merde exporte des scies à os. j'ai besoin de poser des questions à un ami @url,abusive_disrespectful,indirect,anger_sadness,origin,special_needs
182,4663,Le monde des hommes bêta s'unit derrière un chapeau de chatte portant des homologues féminins ! @url,offensive,indirect,anger_sadness,sexual_orientation,other
183,4664,"apportez la maladie, ruinez les murs, mangez des aliments sans vous en foutre. putain de soin. @url",normal,indirect,anger_confusion_shock_indifference_disgust,other,special_needs
184,4665,coup de chatte @url,offensive,direct,anger_fear,other,women
185,4666,les gars proposent à une gouine non ???????,offensive,indirect,shock_indifference,origin,gay
186,4667,@user chatte triste,offensive,direct,fear_indifference,origin,individual
187,4668,@user désolé quoi ? pointant simplement du doigt les immigrants blancs. un peu raciste seulement @url,offensive,indirect,confusion_indifference,other,other
188,4669,"@user méthode folie, je suis retardé, je suis un génie",offensive,indirect,confusion_disgust,disability,other
189,4670,@user @user @user @user @user hahahaha sais lire ching chong chang même le chinois,offensive,indirect,fear_indifference,origin,asians
190,4671,pédé combattant une femme smh triste af lmao @url,normal,indirect,sadness_indifference,sexual_orientation,women
191,4672,"représentant une réduction d'impôt, un homme d'un courage extraordinaire, peut-être qu'un jour il sera reconnu comme un pays de merde",fearful_abusive_hateful_disrespectful_normal,indirect,anger_fear_indifference_sadness_disgust,other,other
192,4673,@user @user sympa monstre retardataire des Black Ops,offensive,direct,shock_indifference,disability,special_needs
193,4674,@user à 100 % dirait qu'il faut retourner dans son pays @url,fearful_hateful,indirect,anger_fear_indifference_sadness_disgust,origin,immigrants
194,4675,"2e et 22 ans, Eddie, putain d'imbécile, grand-mère retardataire, décide d'exécuter un écran à bulles. feu le cul stupide.",offensive,indirect,sadness_indifference,disability,special_needs
195,4676,@user @user arnaqueur mongoloïde qu'est-ce que lmfao,offensive_hateful,indirect,anger_confusion_sadness_indifference_disgust,disability,special_needs
196,4677,Je ne peux pas m'occuper de salopes attardées,offensive,indirect,anger_sadness,disability,special_needs
197,4678,@user quitte le manager mongoloïde Boston s'il vous plaît.,abusive_offensive,indirect,anger_sadness_shock_indifference_disgust,origin,special_needs
198,4679,@user @user sonne comme une utopie naïve et retardée qui n'existe jamais.,offensive,direct,anger_sadness,origin,special_needs
199,4680,@user @user a retardé ce que quelqu'un a dit sur le processus électoral. ce @url,offensive,indirect,anger_disgust,disability,special_needs
200,4681,ingénieux portemanteau libéral 'retard' martha.nn-george washington 1776,offensive_normal,indirect,anger_sadness,other,other
201,4682,la prohibition des drogues a fait de Chicago un pays de merde qui a fait des États-Unis un pays de merde. forcer la loi @url,normal,indirect,anger_sadness,other,other
202,4683,@user @user @user de nombreux étrangers illégaux déménagent-ils chez Crystal ?,offensive,indirect,fear_indifference,origin,special_needs
203,4684,@user blâme ça ! Un hôtel de Toronto reçoit des avis d'une étoile depuis qu'il a accepté des réfugiés en raison du harcèlement @url,offensive,direct,anger_sadness,origin,refugees
204,4685,solution simple : envoyer les étrangers illégaux chez Mazie Hirono. @url,hateful,indirect,confusion_indifference,origin,other
205,4686,J'ai toujours pensé que les gens comme les débiles mentaux étaient suffisamment connus.,hateful,indirect,anger_sadness,sexual_orientation,individual
206,4687,@user wo ching chong,offensive,indirect,confusion_indifference,origin,special_needs
207,4688,Je fuis des pays de merde parce que l'Amérique et l'Europe ont aidé à créer des comtés de merde grâce à l'échec de la drogue @url,offensive,indirect,confusion_fear_shock_indifference_disgust,origin,immigrants
208,4689,pédé cul délicat travail physique @url,offensive,indirect,anger_shock_indifference_disgust,other,other
209,4690,@user ching chong bing bong apporte une cuisine pour chien,offensive,indirect,anger_shock_indifference_disgust,origin,indian/hindu
210,4691,"la police américaine ? nnnncomment, putain de retard avec la coche bleue ? @url",offensive,indirect,sadness_disgust,disability,special_needs
211,4692,@user @user il est progressiste/néo-marxiste. la gauche radicale veut des frontières ouvertes et une migration de masse @url,hateful,indirect,sadness_disgust,other,left_wing_people
212,4693,"chatte. connard absolu. totale connard. désolé, connards. nouveau roi. n#maga @url",offensive,indirect,confusion_fear_indifference_sadness_disgust,gender,women
213,4694,retardé,offensive,indirect,sadness_indifference,disability,special_needs
214,4695,J'ai jeté le drapeau comme un putain de visage de nègre,fearful_abusive_offensive_hateful_normal,indirect,sadness_indifference,origin,special_needs
215,4696,"Donald Trump est bizarrement populaire parmi les habitants des huttes des pays de merde, rapporte la Namibie @user @url",offensive,indirect,anger_fear_shock_sadness_disgust,origin,other
216,4697,exemple conne stupide. @url,offensive,indirect,indifference_disgust,gender,women
217,4698,"nous, gentil pays de merde.nnat au moins 4 morts par balle à Pittsburgh synagoguenn@url",offensive,indirect,anger_confusion_sadness_shock_disgust,origin,other
218,4699,"@user sait merde, pense rvn classe mongoloïde baise",hateful,direct,anger_fear,disability,other
219,4700,@user habille habituellement l'agent de la CIA Halloween voulait une robe chinoise que @url,offensive,indirect,anger_fear_shock_indifference_sadness,origin,other
